n,a,amplitude,lambda_min
1021,3.4642689090823326,0.4336693374132988,-27.66776283501513
1024,3.4657359027997265,0.04332169878499658,-27.571422848211895
1031,3.46914224200848,0.43216815880238113,-27.81507464151912
1033,3.4701112345598193,0.43187018917007586,-27.844442231162645
1039,3.4730069955496137,0.4309807530367767,-27.932360475094352
1049,3.4777963041981486,0.4295130749353597,-28.078295508227292
1051,3.4787486854384757,0.4292217180186437,-28.10739638943273
1061,3.4834835693069914,0.42777565583699967,-28.25249066464145
1063,3.484425189170974,0.42748856650207273,-28.281430124668432
1069,3.4872394555125226,0.42663149056109756,-28.36809633909398
1087,3.495588443560605,0.4240973064776657,-28.626803433860122
1091,3.4974249929165353,0.42354155353223844,-28.684045645885814
1093,3.4983407440882694,0.42326466924002776,-28.71263431642881
1097,3.500167230137615,0.4227128713200513,-28.76974769061463
1103,3.5028945096267514,0.42189006049587696,-28.855260046004723
1109,3.5056069936751837,0.4210730488273447,-28.940585789936037
1117,3.5092008995346005,0.41999259836244746,-29.054066005195757
1123,3.5118794773692215,0.41918884420194263,-29.138960966260825
1129,3.514543782074831,0.4183906573942635,-29.223670443718696
1151,3.5241932043609414,0.4155105344370562,-29.53264521441488
1153,3.5250612601345295,0.4152522616025334,-29.560603325102356
1163,3.5293790762593322,0.41396959133216166,-29.700055324545122
1171,3.5328066817988586,0.4129537525209031,-29.81120195731748
1181,3.537058408098681,0.4116965939260583,-29.94960279441108
1187,3.539592197304834,0.41094893654950754,-30.032354272599935
1193,3.542113211048958,0.41020618780252993,-30.114886523440866
1201,3.5454549110399918,0.4092233952177872,-30.224586716703104
1213,3.550425954472025,0.40776509828078944,-30.388402957837236
1217,3.5520720464937634,0.4072831736595487,-30.442814062152678
1223,3.554531067843586,0.4065641467142607,-30.524250882519016
1229,3.556978054783017,0.40584970595091674,-30.60547476056411
1231,3.557791063092227,0.4056125693814399,-30.632502715848812
1237,3.5602221861962438,0.40490416467581763,-30.713448795744775
1249,3.565049255062789,0.4035007131412637,-30.874737087320288
1259,3.5690365170221736,0.40234454524411295,-31.00855410241873
1277,3.5761344280162697,0.4002933528411524,-31.248159402460935
1279,3.5769169007894215,0.40006777401055144,-31.27468675032501
1283,3.5784781823078182,0.3996179953185583,-31.327686358553837
1289,3.5808110014695935,0.39894675030957266,-31.40705047664179
1291,3.5815861954233212,0.3987239083333809,-31.4334697032721
1297,3.583904592158222,0.3980580791738731,-31.512622810035666
1301,3.5854442392562524,0.3976164246181212,-31.565305559133943
1303,3.5862122885624226,0.3973962621197153,-31.59162144078191
1307,3.587744856812111,0.39695725895024075,-31.64420264089226
1319,3.5923145763586573,0.3956507142401911,-31.801546153920178
1321,3.5930721522611626,0.3954344670872039,-31.82771215324331
1327,3.5953380171661036,0.3947882850270929,-31.906111194445394
1331,3.596842909197556,0.1314532050651091,-31.87918434419342
1361,3.607987501325733,0.39119739409019094,-32.347535483050265
1367,3.6101869183619746,0.39057588207012733,-32.424920419669405
1369,3.6109179126442243,0.19518475203482294,-32.39292602334898
1373,3.6123767028839855,0.38995792917107946,-32.50214629024458
1381,3.6152815767046462,0.3891394673206751,-32.6048631799024
1399,3.621756487332741,0.3873204081111363,-32.83490741700398
1409,3.62531775594934,0.3863230070748227,-32.96206053287145
1423,3.630261299044926,0.38494211408249857,-33.139290303195324
1427,3.6316648087384182,0.38455083831907383,-33.189759681442006
1429,3.6323650889649337,0.3843557388182997,-33.21496656836553
1433,3.633762713914086,0.38396661085695605,-33.26532496079992
1439,3.635851853443684,0.3833855795062474,-33.34072490796146
1447,3.638623863315742,0.382615790387617,-33.44100398364534
1451,3.640004126442094,0.38223298418999563,-33.491035964009775
1453,3.6406928317851412,0.38204209934974326,-33.51602536571303
1459,3.6427532742613926,0.3814715048724606,-33.59088834573822
1471,3.646848860300719,0.38033948998193556,-33.740149957373475
1481,3.6502364071338995,0.37940535338769127,-33.86407564213871
1483,3.650911171068966,0.37921951830628337,-33.888812063045684
1487,3.6522579732300775,0.3788488322434705,-33.93823710285095
1489,3.6529300163420046,0.3786639792477898,-33.96292594890555
1493,3.654271398769595,0.3782952483252432,-34.01225685541749
1499,3.656276749051299,0.3777445747364153,-34.08613790325375
1511,3.66026348113637,0.37665185270735263,-34.23349528089971
1523,3.664218676447581,0.37557045788857224,-34.38033019722037
1531,3.666838197828842,0.37485572047439186,-34.47793858722561
1543,3.6707419261815804,0.3737927559220524,-34.623938878306106
1549,3.6726824202084343,0.37326533463767453,-34.696756121695145
1553,3.6739719115743434,0.3729152082599674,-34.745233770250074
1559,3.6758999345288883,0.3723922329344576,-34.81784982130685
1567,3.6784591211780104,0.37169902950891676,-34.91448405016943
1571,3.6797338191278106,0.3713541683027179,-34.96272090218832
1579,3.682273507127821,0.3706678932425776,-35.05903358319621
1583,3.683538529940506,0.37032646609122954,-35.10710908374841
1597,3.6879410741075063,0.3691403388505581,-35.2749450201909
1601,3.6891918564983572,0.3688039524170856,-35.32277462312317
1607,3.691062182868756,0.3683014381585199,-35.39441494173834
1609,3.6916840734961918,0.3681344810416608,-35.41826713129166
1613,3.6929255390626046,0.3678013835974205,-35.46592939435584
1619,3.6947819768388177,0.3673037678495101,-35.53731690724927
1621,3.695399260867838,0.36713843431882526,-35.56108435652751
1627,3.697246553609519,0.36664403827081726,-35.6323010329736
1637,3.7003102886855674,0.36582534840416026,-35.75070799548847
1657,3.7063820087132813,0.36420752630359443,-35.98643337943155
