u,x,lnF
2.7203095685,0.3453095685,-48.6886091323
2.7213101939,0.3463101939,-48.8335051056
2.7223108193,0.3473108193,-49.0656729250
2.7233114447,0.3483114447,-49.4467609243
2.7243120700,0.3493120700,-50.2037695833
2.7253126954,0.3503126954,-51.6177761196
2.7263133208,0.3513133208,-49.7556685569
2.7273139462,0.3523139462,-49.1273063020
2.7283145716,0.3533145716,-48.7408759598
2.7293151970,0.3543151970,-48.4655082558
2.7303158224,0.3553158224,-48.2560494186
2.7313164478,0.3563164478,-48.0914147901
2.7323170732,0.3573170732,-47.9600260024
2.7333176986,0.3583176986,-47.8548471012
2.7343183240,0.3593183240,-47.7713038389
2.7353189493,0.3603189493,-47.7062846814
2.7363195747,0.3613195747,-47.6576130577
2.7373202001,0.3623202001,-47.6237487748
2.7383208255,0.3633208255,-47.6036110822
2.7393214509,0.3643214509,-47.5964714895
2.7403220763,0.3653220763,-47.6018898329
2.7413227017,0.3663227017,-47.6196798022
2.7423233271,0.3673233271,-47.6498972191
2.7433239525,0.3683239525,-47.6928490079
2.7443245779,0.3693245779,-47.7491247561
2.7453252033,0.3703252033,-47.8196573799
2.7463258286,0.3713258286,-47.9058264264
2.7473264540,0.3723264540,-48.0096301050
2.7483270794,0.3733270794,-48.1339772207
2.7493277048,0.3743277048,-48.2832050663
2.7503283302,0.3753283302,-48.4640619468
2.7513289556,0.3763289556,-48.6877554668
2.7523295810,0.3773295810,-48.9748363310
2.7533302064,0.3783302064,-49.3694885039
2.7543308318,0.3793308318,-49.9996032298
2.7553314572,0.3803314572,-51.8031614131
2.7563320826,0.3813320826,-50.4816174802
2.7573327079,0.3823327079,-49.7087118473
2.7583333333,0.3833333333,-49.3125417506
2.7593339587,0.3843339587,-49.0587600403
2.7603345841,0.3853345841,-48.8825380833
2.7613352095,0.3863352095,-48.7565861056
2.7623358349,0.3873358349,-48.6669134542
2.7633364603,0.3883364603,-48.6054847552
2.7643370857,0.3893370857,-48.5673610378
2.7653377111,0.3903377111,-48.5494013124
2.7663383365,0.3913383365,-48.5496111844
2.7673389619,0.3923389619,-48.5667975484
2.7683395872,0.3933395872,-48.6003863703
2.7693402126,0.3943402126,-48.6503402737
2.7703408380,0.3953408380,-48.7171503562
2.7713414634,0.3963414634,-48.8018997444
2.7723420888,0.3973420888,-48.9064181352
2.7733427142,0.3983427142,-49.0335790553
2.7743433396,0.3993433396,-49.1878569248
2.7753439650,0.4003439650,-49.3764176023
2.7763445904,0.4013445904,-49.6114514999
2.7773452158,0.4023452158,-49.9159080000
2.7783458412,0.4033458412,-50.3410645020
2.7793464665,0.4043464665,-51.0475325186
2.7803470919,0.4053470919,-54.3818656794
2.7813477173,0.4063477173,-51.2064867875
2.7823483427,0.4073483427,-50.5436793261
2.7833489681,0.4083489681,-50.1880485741
2.7843495935,0.4093495935,-49.9598437850
2.7853502189,0.4103502189,-49.8040570069
2.7863508443,0.4113508443,-49.6965822653
2.7873514697,0.4123514697,-49.6248181543
2.7883520951,0.4133520951,-49.5814801828
2.7893527205,0.4143527205,-49.5621211988
2.7903533458,0.4153533458,-49.5639882452
2.7913539712,0.4163539712,-49.5854497223
2.7923545966,0.4173545966,-49.6257017948
2.7933552220,0.4183552220,-49.6846329763
2.7943558474,0.4193558474,-49.7627981996
2.7953564728,0.4203564728,-49.8614933602
2.7963570982,0.4213570982,-49.9829554291
2.7973577236,0.4223577236,-50.1307631569
2.7983583490,0.4233583490,-50.3106173927
2.7993589744,0.4243589744,-50.5319449560
2.8003595997,0.4253595997,-50.8115719543
2.8013602251,0.4263602251,-51.1837328828
2.8023608505,0.4273608505,-51.7367237500
2.8033614759,0.4283614759,-52.8755053292
2.8043621013,0.4293621013,-52.9749523537
2.8053627267,0.4303627267,-51.9331683101
2.8063633521,0.4313633521,-51.4986749393
2.8073639775,0.4323639775,-51.2497432999
2.8083646029,0.4333646029,-51.0969897564
2.8093652283,0.4343652283,-51.0066650915
2.8103658537,0.4353658537,-50.9629933204
2.8113664790,0.4363664790,-50.9580666828
2.8123671044,0.4373671044,-50.9883017863
2.8133677298,0.4383677298,-51.0531375665
2.8143683552,0.4393683552,-51.1548291562
2.8153689806,0.4403689806,-51.2991791390
2.8163696060,0.4413696060,-51.4977919156
2.8173702314,0.4423702314,-51.7741550379
2.8183708568,0.4433708568,-52.1830900444
2.8193714822,0.4443714822,-52.9055520046
2.8203721076,0.4453721076,-56.0029552677
2.8213727330,0.4463727330,-52.8618274485
2.8223733583,0.4473733583,-52.2275492705
2.8233739837,0.4483739837,-51.8775575805
